planta,temperatura,humedad_aire,humedad_suelo,ventilador,rociador,luminosidad
Lechuga,18.0,35.0,30.0,1,90,3
Lechuga,18.8,35.65,31.2,1,90,3
Lechuga,19.6,36.3,32.4,1,90,3
Lechuga,20.4,36.95,33.6,1,90,3
Lechuga,21.2,37.6,34.8,1,90,3
Lechuga,22.0,38.25,36.0,0,90,3
Lechuga,22.8,38.9,37.2,0,90,3
Lechuga,23.6,39.55,38.4,0,90,3
Lechuga,24.4,40.2,39.6,0,90,3
Lechuga,25.2,40.85,40.8,0,90,3
Lechuga,26.0,41.5,42.0,0,90,3
Lechuga,26.8,42.15,43.2,3,90,3
Lechuga,27.6,42.8,44.4,3,90,3
Lechuga,28.4,43.45,45.6,3,90,3
Lechuga,29.2,44.1,46.8,3,90,3
Lechuga,30.0,44.75,48.0,3,90,3
Lechuga,30.8,45.4,49.2,3,90,3
Lechuga,31.6,46.05,50.4,3,90,3
Lechuga,32.4,46.7,51.6,2,90,3
Lechuga,33.2,47.35,52.8,2,90,3
Lechuga,34.0,48.0,54.0,2,90,3
Lechuga,34.8,48.65,55.2,2,90,3
Lechuga,35.6,49.3,56.4,2,90,3
Lechuga,36.4,49.95,57.6,2,90,3
Lechuga,37.2,50.6,58.8,2,90,3
Lechuga,38.0,51.25,60.0,2,0,3
Lechuga,38.8,51.9,61.2,2,0,3
Lechuga,39.6,52.55,62.4,2,0,3
Lechuga,40.4,53.2,63.6,2,0,3
Lechuga,41.2,53.85,64.8,2,0,3
Lechuga,42.0,54.5,66.0,2,0,3
Lechuga,42.8,55.15,67.2,2,0,3
Lechuga,43.6,55.8,68.4,2,0,3
Lechuga,44.4,56.45,69.6,2,0,3
Lechuga,45.2,57.1,70.8,2,0,3
Lechuga,46.0,57.75,72.0,2,0,3
Lechuga,46.8,58.4,73.2,2,0,3
Lechuga,47.6,59.05,74.4,2,0,3
Lechuga,48.4,59.7,75.6,2,0,3
Lechuga,49.2,60.35,76.8,2,0,0
Lechuga,50.0,61.0,78.0,2,0,0
Lechuga,50.8,61.65,79.2,2,0,0
Lechuga,51.6,62.3,80.4,2,30,0
Lechuga,52.4,62.95,81.6,2,30,0
Lechuga,53.2,63.6,82.8,2,30,0
Lechuga,54.0,64.25,84.0,2,30,0
Lechuga,54.8,64.9,85.2,2,30,0
Lechuga,55.6,65.55,86.4,2,30,0
Lechuga,56.4,66.2,87.6,2,30,0
Lechuga,57.2,66.85,88.8,2,30,0
Lechuga,58.0,67.5,90.0,2,30,0
Lechuga,58.8,68.15,91.2,2,30,0
Lechuga,59.6,68.8,92.4,2,30,0
Lechuga,60.4,69.45,93.6,2,30,0
Lechuga,61.2,70.1,94.8,2,30,0
Lechuga,62.0,70.75,96.0,2,30,0
Lechuga,62.8,71.4,97.2,2,30,0
Lechuga,63.6,72.05,98.4,2,30,0
Lechuga,64.4,72.7,99.6,2,30,0
Lechuga,65.2,73.35,100.8,2,60,0
Lechuga,66.0,74.0,102.0,2,60,0
Lechuga,66.8,74.65,103.2,2,60,0
Lechuga,67.6,75.3,104.4,2,60,0
Lechuga,68.4,75.95,105.6,2,60,0
Lechuga,69.2,76.6,106.8,2,60,0
Lechuga,70.0,77.25,108.0,2,60,0
Lechuga,70.8,77.9,109.2,2,60,0
Lechuga,71.6,78.55,110.4,2,60,0
Lechuga,72.4,79.2,111.6,2,60,0
Lechuga,73.2,79.85,112.8,2,60,0
Lechuga,74.0,80.5,114.0,2,60,1
Lechuga,74.8,81.15,115.2,2,60,1
Lechuga,75.6,81.8,116.4,2,60,1
Lechuga,76.4,82.45,117.6,2,60,1
Lechuga,77.2,83.1,118.8,2,60,1
Lechuga,78.0,83.75,120.0,2,60,1
Lechuga,78.8,84.4,121.2,2,60,1
Lechuga,79.6,85.05,122.4,2,60,1
Lechuga,80.4,85.7,123.6,2,60,1
Lechuga,81.2,86.35,124.8,2,60,1
Lechuga,82.0,87.0,126.0,2,60,1
Lechuga,82.8,87.65,127.2,2,60,1
Lechuga,83.6,88.3,128.4,2,60,1
Lechuga,84.4,88.95,129.6,2,60,1
Lechuga,85.2,89.6,130.8,2,60,1
Lechuga,86.0,90.25,132.0,2,60,1
Lechuga,86.8,90.9,133.2,2,60,1
Lechuga,87.6,91.55,134.4,2,60,1
Lechuga,88.4,92.2,135.6,2,60,1
Lechuga,89.2,92.85,136.8,2,60,1
Lechuga,90.0,93.5,138.0,2,60,1
