planta,humedad_aire,humedad_aire_nivel,humedad_suelo,humedad_suelo_nivel,temperatura,temperatura_nivel,recomendacion
Lechuga,92,muy alto,3633,muy alto,34,bajo,alerta exceso humedad
Lechuga,91,muy alto,4050,muy alto,47,medio,alerta exceso humedad
Lechuga,87,muy alto,3211,alto,45,medio,ventilación
Lechuga,79,alto,2895,alto,34,bajo,estable
Lechuga,97,muy alto,3791,muy alto,23,bajo,alerta exceso humedad
Lechuga,83,alto,2324,medio,36,medio,riego
Lechuga,57,medio,2818,alto,41,medio,estable
Lechuga,21,bajo,2279,medio,74,alto,alerta calor
Lechuga,85,alto,2715,alto,28,bajo,estable
Lechuga,37,bajo,2828,alto,20,muy bajo,estable
Lechuga,66,alto,2191,medio,46,medio,riego
Lechuga,73,alto,3349,muy alto,54,medio,alerta exceso humedad
Lechuga,36,bajo,2803,alto,92,muy alto,alerta calor
Lechuga,65,medio,2136,medio,57,alto,alerta calor
Lechuga,83,alto,2710,alto,43,medio,estable
Lechuga,20,muy bajo,2123,medio,8,muy bajo,riego
Lechuga,30,bajo,816,muy bajo,34,bajo,riego
Lechuga,75,alto,2826,alto,32,bajo,estable
Lechuga,33,bajo,3862,muy alto,67,alto,alerta exceso humedad
Lechuga,98,muy alto,3614,muy alto,34,bajo,alerta exceso humedad
Lechuga,62,medio,2691,alto,44,medio,estable
Lechuga,39,bajo,2829,alto,29,bajo,estable
Lechuga,86,muy alto,2565,alto,31,bajo,ventilación
Lechuga,62,medio,3224,alto,48,medio,ventilación
Lechuga,64,medio,2779,alto,51,medio,ventilación
Lechuga,60,medio,3827,muy alto,44,medio,alerta exceso humedad
Lechuga,81,alto,4056,muy alto,82,muy alto,alerta exceso humedad
Lechuga,87,muy alto,3116,alto,34,bajo,ventilación
Lechuga,19,muy bajo,1192,bajo,47,medio,riego
Lechuga,12,muy bajo,3054,alto,2,muy bajo,estable
Lechuga,63,medio,2444,medio,30,bajo,riego
Lechuga,75,alto,2015,medio,31,bajo,riego
Lechuga,19,muy bajo,22,muy bajo,11,muy bajo,riego
Lechuga,32,bajo,504,muy bajo,95,muy alto,riego
Lechuga,40,bajo,3040,alto,43,medio,estable
Lechuga,38,bajo,2100,medio,57,alto,alerta calor
Lechuga,27,bajo,1373,bajo,55,medio,riego
Lechuga,33,bajo,3022,alto,41,medio,estable
Lechuga,79,alto,3852,muy alto,40,medio,alerta exceso humedad
Lechuga,94,muy alto,2557,alto,27,bajo,ventilación
Lechuga,37,bajo,1966,medio,89,muy alto,alerta calor
Lechuga,90,muy alto,2571,alto,33,bajo,ventilación
Lechuga,58,medio,2203,medio,36,medio,riego
Lechuga,78,alto,3020,alto,38,medio,estable
Lechuga,98,muy alto,3274,alto,43,medio,ventilación
Lechuga,76,alto,2545,alto,49,medio,ventilación
Lechuga,46,medio,2966,alto,45,medio,estable
Lechuga,32,bajo,1190,bajo,71,alto,riego
Lechuga,44,medio,2552,alto,71,alto,alerta calor
Lechuga,45,medio,3330,muy alto,32,bajo,alerta exceso humedad
Lechuga,52,medio,1339,bajo,40,medio,riego
Lechuga,73,alto,3206,alto,34,bajo,estable
Lechuga,81,alto,3076,alto,30,bajo,estable
Lechuga,45,medio,2098,medio,5,muy bajo,riego
Lechuga,77,alto,2097,medio,42,medio,riego
Lechuga,79,alto,4035,muy alto,42,medio,alerta exceso humedad
Lechuga,70,alto,2936,alto,44,medio,estable
Lechuga,62,medio,3336,muy alto,58,alto,alerta exceso humedad
Lechuga,96,muy alto,2833,alto,27,bajo,ventilación
Lechuga,59,medio,2565,alto,26,bajo,estable
Lechuga,40,bajo,2864,alto,39,medio,estable
Lechuga,86,muy alto,2277,medio,59,alto,alerta calor
Lechuga,49,medio,2265,medio,28,bajo,riego
Lechuga,65,medio,3573,muy alto,33,bajo,alerta exceso humedad
Lechuga,98,muy alto,3866,muy alto,43,medio,alerta exceso humedad
Lechuga,57,medio,3178,alto,43,medio,estable
Lechuga,58,medio,2258,medio,25,bajo,riego
Lechuga,68,alto,2215,medio,33,bajo,riego
Lechuga,65,medio,3734,muy alto,44,medio,alerta exceso humedad
Lechuga,44,medio,2133,medio,35,bajo,riego
Lechuga,71,alto,2537,alto,71,alto,alerta calor
Lechuga,53,medio,2669,alto,32,bajo,estable
Lechuga,33,bajo,2033,medio,21,bajo,riego
Lechuga,91,muy alto,3413,muy alto,43,medio,alerta exceso humedad
Lechuga,69,alto,3854,muy alto,39,medio,alerta exceso humedad
Lechuga,79,alto,3143,alto,32,bajo,estable
