planta,humedad_aire,humedad_aire_nivel,humedad_suelo,humedad_suelo_nivel,temperatura,temperatura_nivel,luminosidad,luminosidad_nivel,ventilador,ventilador_nivel,rociador,rociador_nivel,recomendacion
Lechuga,69,medio,65.05,alto,36.0,medio,53.33333333333333,medio,60.12323148499415,medio,13.172328968635352,bajo,estable
Lechuga,67,medio,81.22500000000001,alto,35.0,medio,52.66666666666667,medio,59.04756124794171,medio,9.966679951145109,bajo,alerta exceso humedad
Lechuga,42,medio,19.3,bajo,35.0,medio,53.66666666666667,medio,56.428437614011564,medio,86.69999334667001,alto,riego
Lechuga,54,medio,34.725,bajo,39.96666666666667,alto,62.94444444444444,medio,70.57660480633702,medio,82.52912986751491,alto,alerta temperatura
Lechuga,74,alto,52.925,medio,33.0,medio,52.333333333333336,medio,50.391538886073945,medio,45.000008938917176,medio,estable
Lechuga,75,alto,33.025,bajo,22.0,bajo,35.0,bajo,9.966679951145109,bajo,83.26734280181083,alto,alerta temperatura
Lechuga,67,medio,59.3,medio,39.0,alto,64.33333333333333,alto,89.89112718854929,alto,45.000020573952995,medio,alerta temperatura
Lechuga,75,alto,48.8,medio,33.0,medio,55.333333333333336,medio,50.110797945816756,medio,45.00001003007013,medio,estable
Lechuga,50,medio,19.0,bajo,39.73333333333333,alto,67.55555555555556,alto,61.91712703993615,medio,86.69999334667001,alto,alerta temperatura
Lechuga,52,medio,18.925,bajo,28.0,medio,49.0,medio,37.90173388709974,medio,86.69999334667001,alto,riego
Lechuga,50,medio,27.9,bajo,34.0,medio,60.0,medio,54.93362919246024,medio,85.20195059368078,alto,riego
Lechuga,98,alto,51.8,medio,30.0,medio,54.33333333333333,medio,45.000015368312305,medio,45.00001003007015,medio,estable
Lechuga,99,alto,71.8,alto,29.0,medio,53.66666666666666,medio,47.662687085605015,medio,11.16574792525707,bajo,estable
Lechuga,64,medio,38.075,bajo,36.0,medio,66.33333333333333,alto,75.83242336680038,medio,80.97123463254948,alto,ventilación
Lechuga,30,bajo,40.125,medio,34.0,medio,64.0,alto,69.27434887229471,medio,0.0,bajo,estable
Lechuga,71,alto,65.925,alto,30.0,medio,58.33333333333333,medio,48.57211245247838,medio,12.88167754223107,bajo,estable
Lechuga,81,alto,54.125,medio,35.0,medio,67.66666666666667,alto,87.67322669761693,alto,45.00000958489665,medio,ventilación
Lechuga,85,alto,50.375,medio,39.86666666666667,alto,76.77777777777777,alto,90.03005100781715,alto,45.00001072390045,medio,alerta temperatura
Lechuga,83,alto,69.875,alto,36.0,medio,71.33333333333333,alto,77.4857912645667,alto,11.67561330570267,bajo,ventilación
Lechuga,63,medio,12.925,bajo,39.93333333333333,alto,78.88888888888889,alto,61.922017876254614,medio,86.69999334667001,alto,alerta temperatura
Lechuga,4,bajo,20.675,bajo,26.0,bajo,56.66666666666666,medio,32.71095056009128,medio,86.68423172006818,alto,riego
Lechuga,61,medio,38.475,bajo,39.833333333333336,alto,59.72222222222223,medio,81.20266414781536,alto,80.77734810555981,alto,alerta temperatura
Lechuga,81,alto,54.225,medio,35.0,medio,52.66666666666667,medio,56.90270296074559,medio,45.00001118155766,medio,estable
Lechuga,30,bajo,3.4750000000000005,bajo,40.0,alto,62.0,medio,61.922709967076585,medio,86.69999334667001,alto,alerta temperatura
Lechuga,65,medio,24.0,bajo,29.0,medio,44.66666666666666,medio,41.29028537823446,medio,86.25092053139716,alto,riego
Lechuga,64,medio,29.85,bajo,39.7,alto,63.5,alto,64.91859775667625,medio,84.52573544177851,alto,alerta temperatura
