planta,temperatura,humedad_aire,humedad_suelo,ventilador,rociador,luminosidad
Pimenton,20.0,35.0,25.0,1,90,3
Pimenton,20.9,35.65,26.4,1,90,3
Pimenton,21.8,36.3,27.8,1,90,3
Pimenton,22.7,36.95,29.2,1,90,3
Pimenton,23.6,37.6,30.6,1,90,3
Pimenton,24.5,38.25,32.0,0,90,3
Pimenton,25.4,38.9,33.4,0,90,3
Pimenton,26.3,39.55,34.8,0,90,3
Pimenton,27.2,40.2,36.2,0,90,3
Pimenton,28.1,40.85,37.6,0,90,3
Pimenton,29.0,41.5,39.0,0,90,3
Pimenton,29.9,42.15,40.4,0,90,3
Pimenton,30.8,42.8,41.8,0,90,3
Pimenton,31.7,43.45,43.2,0,90,3
Pimenton,32.6,44.1,44.6,3,90,3
Pimenton,33.5,44.75,46.0,3,90,3
Pimenton,34.4,45.4,47.4,3,90,3
Pimenton,35.3,46.05,48.8,3,90,3
Pimenton,36.2,46.7,50.2,3,0,3
Pimenton,37.1,47.35,51.6,3,0,3
Pimenton,38.0,48.0,53.0,3,0,3
Pimenton,38.9,48.65,54.4,3,0,3
Pimenton,39.8,49.3,55.8,3,0,3
Pimenton,40.7,49.95,57.2,2,0,3
Pimenton,41.6,50.6,58.6,2,0,0
Pimenton,42.5,51.25,60.0,2,0,0
Pimenton,43.4,51.9,61.4,2,0,0
Pimenton,44.3,52.55,62.8,2,0,0
Pimenton,45.2,53.2,64.2,2,0,0
Pimenton,46.1,53.85,65.6,2,0,0
Pimenton,47.0,54.5,67.0,2,0,0
Pimenton,47.9,55.15,68.4,2,0,0
Pimenton,48.8,55.8,69.8,2,0,0
Pimenton,49.7,56.45,71.2,2,30,0
Pimenton,50.6,57.1,72.6,2,30,0
Pimenton,51.5,57.75,74.0,2,30,0
Pimenton,52.4,58.4,75.4,2,30,0
Pimenton,53.3,59.05,76.8,2,30,0
Pimenton,54.2,59.7,78.2,2,30,0
Pimenton,55.1,60.35,79.6,2,30,0
Pimenton,56.0,61.0,81.0,2,30,0
Pimenton,56.9,61.65,82.4,2,30,0
Pimenton,57.8,62.3,83.8,2,30,0
Pimenton,58.7,62.95,85.2,2,30,0
Pimenton,59.6,63.6,86.6,2,30,0
Pimenton,60.5,64.25,88.0,2,30,0
Pimenton,61.4,64.9,89.4,2,30,0
Pimenton,62.3,65.55,90.8,2,60,0
Pimenton,63.2,66.2,92.2,2,60,0
Pimenton,64.1,66.85,93.6,2,60,0
Pimenton,65.0,67.5,95.0,2,60,0
Pimenton,65.9,68.15,96.4,2,60,0
Pimenton,66.8,68.8,97.8,2,60,0
Pimenton,67.7,69.45,99.2,2,60,0
Pimenton,68.6,70.1,100.6,2,60,1
Pimenton,69.5,70.75,102.0,2,60,1
Pimenton,70.4,71.4,103.4,2,60,1
Pimenton,71.3,72.05,104.8,2,60,1
Pimenton,72.2,72.7,106.2,2,60,1
Pimenton,73.1,73.35,107.6,2,60,1
Pimenton,74.0,74.0,109.0,2,60,1
Pimenton,74.9,74.65,110.4,2,60,1
Pimenton,75.8,75.3,111.8,2,60,1
Pimenton,76.7,75.95,113.2,2,60,1
Pimenton,77.6,76.6,114.6,2,60,1
Pimenton,78.5,77.25,116.0,2,60,1
Pimenton,79.4,77.9,117.4,2,60,1
Pimenton,80.3,78.55,118.8,2,60,1
Pimenton,81.2,79.2,120.2,2,60,1
Pimenton,82.1,79.85,121.6,2,60,1
Pimenton,83.0,80.5,123.0,2,60,1
Pimenton,83.9,81.15,124.4,2,60,1
Pimenton,84.8,81.8,125.8,2,60,1
Pimenton,85.7,82.45,127.2,2,60,1
Pimenton,86.6,83.1,128.6,2,60,1
Pimenton,87.5,83.75,130.0,2,60,1
Pimenton,88.4,84.4,131.4,2,60,1
Pimenton,89.3,85.05,132.8,2,60,1
Pimenton,90.2,85.7,134.2,2,60,1
