planta,humedad_aire,humedad_aire_nivel,humedad_suelo,humedad_suelo_nivel,temperatura,temperatura_nivel,luminosidad,luminosidad_nivel,ventilador,ventilador_nivel,rociador,rociador_nivel,recomendacion
Pimentón,69,medio,47.475,medio,38.96666666666667,alto,58.27777777777778,medio,89.88217958226687,alto,45.000018733572226,medio,alerta temperatura
Pimentón,51,medio,70.0,alto,38.8,alto,58.99999999999999,medio,89.83389092180226,alto,11.640749095388804,bajo,alerta temperatura
Pimentón,71,alto,69.89999999999999,alto,38.86666666666667,alto,60.11111111111112,medio,89.85389612319277,alto,11.668619948729944,bajo,alerta temperatura
Pimentón,66,medio,73.4,alto,39.266666666666666,alto,61.77777777777778,medio,89.95376876747912,alto,10.791690751042994,bajo,alerta temperatura
Pimentón,52,medio,71.42500000000001,alto,39.16666666666666,alto,62.61111111111111,medio,89.93219379129562,alto,11.260298321936684,bajo,alerta temperatura
Pimentón,62,medio,69.15,alto,39.06666666666667,alto,63.44444444444445,alto,89.90831406362376,alto,11.88225002481675,bajo,alerta temperatura
Pimentón,74,alto,63.225,medio,39.4,alto,65.0,alto,89.97881388722828,alto,34.61603366146889,medio,alerta temperatura
Pimentón,21,bajo,50.64999999999999,medio,38.96666666666667,alto,65.27777777777777,alto,89.88217958226687,alto,45.00000463093679,medio,alerta temperatura
Pimentón,52,medio,50.975,medio,38.93333333333333,alto,66.22222222222221,alto,89.87300064521501,alto,45.00000770385338,medio,alerta temperatura
Pimentón,51,medio,79.14999999999999,alto,39.4,alto,68.0,alto,89.97881388722828,alto,9.985325586243688,bajo,alerta temperatura
Pimentón,54,medio,55.325,medio,39.23333333333333,alto,68.72222222222223,alto,89.94684025679112,alto,45.00001019088191,medio,alerta temperatura
Pimentón,60,medio,23.575,bajo,39.46666666666667,alto,70.11111111111111,alto,62.20078698436841,medio,86.33428136028341,alto,alerta temperatura
Pimentón,55,medio,56.875,medio,39.36666666666667,alto,70.94444444444444,alto,89.97296573243311,alto,45.00000905191086,medio,alerta temperatura
Pimentón,46,medio,73.475,alto,39.0,alto,71.33333333333333,alto,89.89112718854929,alto,10.77541551871765,bajo,alerta temperatura
Pimentón,55,medio,70.35,alto,39.5,alto,73.16666666666667,alto,89.99469589646465,alto,11.544350604006848,bajo,alerta temperatura
Pimentón,60,medio,60.575,medio,38.833333333333336,alto,73.05555555555556,alto,89.84400434533903,alto,43.85249969253698,medio,alerta temperatura
Pimentón,60,medio,44.125,medio,39.06666666666667,alto,74.44444444444446,alto,89.90831406362376,alto,0.0,bajo,alerta temperatura
Pimentón,15,bajo,30.875000000000004,bajo,39.53333333333333,alto,76.22222222222221,alto,65.69700879402681,medio,84.13874812383816,alto,alerta temperatura
Pimentón,28,bajo,28.125,bajo,39.6,alto,77.33333333333334,alto,63.8265268788732,medio,85.12833332179268,alto,alerta temperatura
Pimentón,70,medio,80.525,alto,38.9,alto,77.16666666666666,alto,89.86356412397052,alto,9.966679951145109,bajo,alerta temperatura
Pimentón,12,bajo,53.05,medio,39.53333333333333,alto,79.22222222222221,alto,90.0175420863126,alto,45.00000798442371,medio,alerta temperatura
Pimentón,86,alto,29.625,bajo,39.333333333333336,alto,58.88888888888889,medio,64.6735051684574,medio,84.60794598660253,alto,alerta temperatura
Pimentón,52,medio,79.925,alto,39.266666666666666,alto,59.77777777777778,medio,89.95376876747912,alto,9.96695566949923,bajo,alerta temperatura
Pimentón,79,alto,96.9,alto,40.0,alto,62.0,medio,90.03332004885489,alto,9.966679951145109,bajo,alerta temperatura
